"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_start_APOC","LF_MDA_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","MDA_left","Mapping_gap","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Bunza",2039,36790,"Endemic",2016,1,2017,2017,"Annual",127494,117002,91.77059313,1,1,1,1,3,0,"ANGA0379636790"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Dandi",2040,36791,"Endemic",2011,5,2017,2017,"Annual",151439,137833,91.0155244,1,1,1,1,2,0,"ANGA0379636791"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Fakai",2041,36792,"Endemic",2010,7,2017,2017,"Annual",127232,127829,100.4692216,1,1,1,1,0,0,"ANGA0379636792"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Gwandu",2042,36793,"Endemic",2016,1,2017,2017,"Annual",158520,147341,92.94789301,1,1,1,1,3,0,"ANGA0379636793"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Jega",2043,36794,"Endemic",2016,1,2017,2017,"Annual",202956,201078,99.07467628,1,1,1,1,3,0,"ANGA0379636794"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Kalgo",2044,36795,"Endemic",2016,1,2017,2017,"Annual",89645,78812,87.91566735,1,1,1,1,3,0,"ANGA0379636795"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Koko/Besse",2045,36796,"Endemic",2016,1,2017,2017,"Annual",162284,154559,95.23982648,1,1,1,1,4,0,"ANGA0379636796"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Maiyama",2046,36797,"Endemic",2016,1,2017,2017,"Annual",184412,164378,89.1362818,1,1,1,1,3,0,"ANGA0379636797"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Sakaba",2048,36799,"Endemic",2010,7,2017,2017,"Annual",94404,91000,96.39422058,1,1,1,1,0,0,"ANGA0379636799"
"AFRO","Nigeria","NG",34,"Abia",454,"Umuahia North",1600,36352,"Endemic",2014,3,2017,2017,"Annual",231620,204478,88.28166825,1,1,1,1,3,0,"ANGA0377536352"
"AFRO","Nigeria","NG",34,"Abia",454,"Umuahia South",1601,36353,"Endemic",2014,3,2017,2017,"Annual",145452,142453,97.93815142,1,1,1,1,3,0,"ANGA0377536353"
"AFRO","Nigeria","NG",34,"Rivers",486,"Oyigbo",2287,37038,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0380737038"
"AFRO","Nigeria","NG",34,"Rivers",486,"Port-Harcourt",2288,37039,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0380737039"
"AFRO","Nigeria","NG",34,"Imo",470,"Ihitte-Uboma",1884,36635,"Endemic",2014,3,2017,2017,"Annual",126742,108070,85.2677092,1,1,1,1,1,0,"ANGA0379136635"
"AFRO","Nigeria","NG",34,"Osun",483,"Aiyedire",2188,36939,"Endemic",2016,1,2017,2017,"Annual",79614,84756,106.458663,1,1,1,1,4,0,"ANGA0380436939"
"AFRO","Nigeria","NG",34,"Osun",483,"Bolowaduro",2191,36942,"Endemic",2016,1,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0380436942"
