district_names,total_treatment_alb_mbd,total_target_alb,total_target_mbd,lf_alb_total_procured,sac_alb_total_procured,sth_mbd_total_procured,pzq_total_treatment,pzq_total_procured,ivm_total_treatment,ivm_total_procured
Ikeduru,40163.0,0.0,40163.0,161455.0,0.0,0.0,0.0,0.0,214116.16422062498,600725.2598177498
Ikeja,84243.0,0.0,0.0,0.0,0.0,0.0,38920.200000000004,97398.50000000001,0.0,0.0
Ikenne,31937.0,0.0,76649.0,0.0,0.0,45011.0,38963.2,55946.0,0.0,0.0
Ikere,39634.0,0.0,39634.0,159328.0,0.0,0.0,18310.71,0.0,196142.34670875,444786.0
Ikole,45304.0,0.0,45304.0,182122.0,0.0,0.0,20930.25,0.0,292541.152896875,508417.0
Ikom,43677.0,0.0,0.0,175583.0,0.0,0.0,0.0,0.0,274264.9752815625,769477.9307883749
Ikono,35479.0,0.0,85150.0,0.0,0.0,50003.0,0.0,0.0,141917.0,398162.6
Ikorodu,144070.0,0.0,0.0,579160.0,0.0,0.0,0.0,0.0,576278.0,1616806.4
Ikot Abasi,35511.0,0.0,120738.0,142756.0,0.0,50048.0,0.0,0.0,142045.0,398522.0
Ikot Ekpene,38485.0,0.0,38485.0,154708.0,0.0,0.0,0.0,0.0,153938.0,431889.39999999997
Ikpoba-Okha,99819.0,0.0,239566.0,0.0,0.0,140679.0,0.0,0.0,399277.0,1120211.5999999999
Ikwere,51032.0,0.0,51032.0,205149.0,0.0,0.0,0.0,0.0,204128.0,572702.3999999999
Ikwo,57724.0,0.0,57724.0,232050.0,0.0,0.0,26668.29,0.0,330314.98553343746,647800.0
Ikwuano,37117.0,0.0,37117.0,149211.0,0.0,0.0,17148.120000000003,0.0,188513.4486215625,528893.656140375
Ila,16690.0,0.0,16690.0,67093.0,0.0,0.0,7710.780000000001,0.0,133518.0,187299.19999999998
Ilaje,78169.0,0.0,265775.0,314240.0,0.0,110167.0,0.0,0.0,312676.0,877243.7999999999
Ile-Oluji-Okegbo,46498.0,0.0,46498.0,186922.0,0.0,0.0,21482.010000000002,0.0,265870.0821178125,521819.6
Ilesha East ,28669.0,0.0,28669.0,115251.0,0.0,0.0,13245.210000000001,0.0,169595.66503499998,321738.6
Ilesha West,27854.0,0.0,66850.0,0.0,0.0,39256.0,12868.68,0.0,54917.78198468749,154077.78955712495
Ileyemeje,11708.0,0.0,11708.0,47067.0,0.0,0.0,5409.030000000001,0.0,93664.0,131392.6
Illela,40478.0,0.0,0.0,162722.0,0.0,0.0,49383.100000000006,70907.25,161912.0,454260.6
Ilorin East,54955.0,0.0,131892.0,0.0,0.0,77450.0,25389.210000000003,0.0,219820.0,616727.0
Ilorin South,56133.0,0.0,56133.0,225656.0,0.0,0.0,25933.710000000003,0.0,275203.3099815625,629950.3999999999
Ilorin West,98087.0,0.0,470818.0,0.0,0.0,276475.0,119666.20000000001,171824.5,392348.0,1100772.4
Imeko Afon,22115.0,0.0,0.0,88901.0,0.0,0.0,26979.6,38739.0,88458.0,248178.4
Ingawa,45660.0,0.0,45660.0,183553.0,0.0,0.0,21094.920000000002,0.0,182639.0,512412.19999999995
Ini,26682.0,0.0,128072.0,0.0,0.0,75207.0,0.0,0.0,106726.0,299430.8
Ipokia,40461.0,0.0,40461.0,162655.0,0.0,0.0,18693.18,0.0,238867.29740718746,454073.0
Irele,39046.0,0.0,132757.0,156967.0,0.0,55030.0,18039.45,0.0,251487.43887593749,438195.79999999993
Irepo,32964.0,0.0,158228.0,0.0,0.0,92916.0,15229.5,0.0,57444.18892874997,161165.7290004999
Irepodun,36057.5,0.0,36057.5,144951.0,0.0,0.0,31808.235,35011.25,247267.78418890623,404650.6
Irepodun/Ifelodun,34737.0,0.0,34737.0,139643.0,0.0,0.0,0.0,0.0,220909.19780499995,389833.39999999997
Irewole,38625.0,0.0,131325.0,155273.0,0.0,54436.0,17844.75,0.0,207599.58139125,433465.99999999994
Isa,39298.0,0.0,0.0,0.0,0.0,0.0,18155.940000000002,0.0,0.0,0.0
Ise/Orun,30596.0,0.0,30596.0,122997.0,0.0,0.0,37327.5,53597.75,192307.57289468747,343364.0
Iseyin,69107.0,0.0,331714.0,0.0,0.0,194790.0,31927.5,0.0,40900.24132406249,114750.67570737496
Ishielu,40629.0,0.0,195018.0,163327.0,0.0,114519.0,49566.8,71172.0,58261.01046781246,163457.82930987488
Isi-Uzo,39920.0,0.0,39920.0,160480.0,0.0,0.0,18443.04,0.0,225258.9653571875,631987.1030001249
Isiala-Mbano,53456.0,0.0,53456.0,214892.0,0.0,0.0,0.0,0.0,274771.01561906247,770897.843733375
Isiala-Ngwa North,41351.0,0.0,41351.0,166232.0,0.0,0.0,0.0,0.0,228376.9669353125,640734.5074188749
Isiala-Ngwa South,36248.0,0.0,36248.0,145717.0,0.0,0.0,0.0,0.0,200194.12418531248,561665.5477188749
Isin,16068.0,0.0,16068.0,64594.0,0.0,0.0,7423.35,0.0,128544.0,180321.59999999998
Isiukwuato,30782.0,0.0,30782.0,123745.0,0.0,0.0,0.0,0.0,180234.09760875,505665.4733044999
Isokan,27752.0,0.0,94357.0,111565.0,0.0,39113.0,12821.49,0.0,179901.93623031248,311447.2
Isoko North,38774.0,0.0,131832.0,155874.0,0.0,54646.0,17913.72,0.0,228909.52647093748,435143.39999999997
Isoko South,61249.0,0.0,61249.0,246223.0,0.0,0.0,74724.3,107294.25,244998.0,687366.3999999999
Isu,44238.0,0.0,44238.0,177838.0,0.0,0.0,0.0,0.0,244323.55749156247,685474.9609763749
Itas/Gadua,61861.0,0.0,0.0,248684.0,0.0,0.0,75471.0,108366.5,247446.0,694234.7999999999
Itesiwaju,34605.0,0.0,83051.0,0.0,0.0,48769.0,15987.18,0.0,93375.50614437496,261974.41720424985
Itu,34169.0,0.0,164012.0,0.0,0.0,96312.0,0.0,0.0,0.0,0.0
Ivo,32525.0,0.0,78059.0,0.0,0.0,45838.0,39679.8,56974.5,130098.0,365003.39999999997
Iwajowa,27699.0,0.0,66478.0,0.0,0.0,39038.0,33793.1,48522.75,42061.45248499998,118008.06695799994
Iwo,51476.0,0.0,175019.0,206935.0,0.0,72548.0,23782.11,0.0,275565.306951875,577687.9999999999
Izzi,62960.0,0.0,0.0,253100.0,0.0,0.0,29087.52,0.0,98437.15053562498,276176.0214997499
Jada,45315.0,0.0,45315.0,182169.0,0.0,0.0,20935.86,0.0,356527.17687406245,508549.5999999999
Jahun,61621.0,0.0,0.0,247718.0,0.0,0.0,75178.0,107945.5,263037.7781078125,691538.9999999999
