,state_names,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,lf_prev,oncho_prev,sth_prev,schisto_prev,lf_mda,oncho_mda,sth_mda,schisto_mda,state,population,lf_yld,oncho_yld,schisto_yld,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio,OnchoPopReq,OnchoPopTreat,SchPopReq,SchPopTreat
10,Edo,865659,0,2491768,1216965,1276057,355217.70000000007,286187.5,1216965,3407501.9999999995,2034174.8413865794,6816509.955882421,7,16,44,15,7,21,26,4,Edo,4235595,16756.685717453263,39150.57434648477,43877.68088619389,0.0,0.5121090727547669,0.8056679044991282,3.35099511467559,2.8,2511706,2517331,1640482,1419374
11,Ekiti,641141,0,723997,2564565,122715,466755.2400000001,430797.5,2213951,6588994.858691875,1182154.7749259372,3310033.3697926244,16,16,31,20,16,16,15,5,Ekiti,3270798,12939.795738562045,30232.734780198225,33883.086293000444,0.0,0.16949655868739788,0.9229623217513314,2.8000000000000003,2.976124972364734,2534126,2499455,1120454,429824
12,Enugu,876140,116634,759506,2947635,198406,466663.26000000007,191568.75,2947635,8253377.999999999,1304478.657298437,5211938.640435625,14,15,28,19,14,30,11,3,Enugu,4411119,17451.08650503335,40772.98286561665,45695.98175298316,25.27251916250836,0.26123032602770746,0.41050746099017943,3.9954188681242977,2.8,3419088,3253540,504100,442068
13,Federal Capital Territory,377968,0,545038,581848,293184,532767.76,699342.4,581848,1629174.4,469682.5083325152,1315111.0233310426,4,6,8,12,4,6,2,6,Federal Capital Territory,3564126,14100.247837530225,32944.03264316805,36921.75084402231,0.0,0.5379147875927917,1.3126590092463553,2.8000000000000003,2.8,1474997,726818,98114,76042
14,Gombe,633142,633142,0,2169064,0,502237.17000000004,895903.4249999999,2169064,6073379.199999999,1729197.4208240623,4841752.778307373,10,10,11,16,10,10,0,11,Gombe,3256962,12885.058327740971,30104.845464374128,33739.755404957235,3.425872868961465,0.0,1.7838254086211895,2.799999999999999,2.8,2470795,2350701,0,0
15,Imo,1058401,0,1252877,4233600,167779,127506.06000000001,318765.14999999997,4233600,11854080.0,1308923.4845399996,3664985.756711999,27,22,55,8,27,44,28,8,Imo,5408756,21397.89673337268,49994.37007079185,56030.77484020227,0.0,0.13391498127908805,2.4999999999999996,2.8,2.8,4130339,3550410,0,0
16,Jigawa,1169688,1169688,0,4678758,0,973731.7000000002,1086278.75,4678758,13100522.399999999,603231.0955756248,1689047.0676117497,27,17,26,38,27,17,0,13,Jigawa,5828163,23057.13735640201,53871.04499720387,60375.526051646215,4.000005129573014,0.0,1.1155832248246615,2.8000000000000003,2.8,4564646,4504331,4865654,2763568
17,Kaduna,1631769,345762,1286007,5239951,232760,1455137.1500000001,1619002.5,5239951,14671862.799999999,2288174.8980099997,6406889.714427998,18,16,37,37,18,16,14,14,Kaduna,8252366,32647.668978596143,76278.50836007766,85488.50442596053,15.154791446139251,0.18099434917539328,1.1126116187742165,2.8,2.8,5341918,4738956,3935182,2580662
18,Kano,2524000,1746624,777376,10096005,0,2013838.6199999994,1957207.5,10096005,28268813.999999993,1023116.2208674997,2864725.418428999,44,18,61,69,44,18,17,25,Kano,13076892,51734.25915487171,120872.70677837516,135467.08175810525,5.780296732439266,0.0,0.9718790177933923,2.8,2.7999999999999994,9849760,9128367,2162576,1156898
19,Katsina,1558072,1332898,225174,5475366,47336,1268644.1100000003,1465557.5,5475366,15331024.799999999,0.0,0.0,30,0,38,48,30,0,4,18,Katsina,7831319,30981.940255411668,72386.67453817911,81126.7640083594,4.107865718156979,0.21021965235773224,1.1552156262326396,0.0,2.8,5163633,4760206,3366089,2494260
20,Kebbi,871118,768345,102773,3413494,0,1235280.5500000003,1426153.75,3413494,9557783.2,506139.97455531236,1417191.9287548745,20,9,23,39,20,9,2,16,Kebbi,4440050,17565.542130392158,41040.398722519436,45995.68585257684,4.442657920595566,0.0,1.1545180971237665,2.8,2.8,3330237,3153120,3805191,2843876
21,Kogi,881840,0,1280967,2074504,516030,221467.84999999998,206777.5,1902195,5730317.421590999,2470033.7117899996,6916094.393012,11,21,39,10,11,21,18,3,Kogi,4473490,17697.83607501898,41349.4922987812,46342.09990983074,0.0,0.4028441013702929,0.9336682502674768,2.8000000000000007,3.0124763347559,3441336,3373760,2843863,1821094
22,Kwara,637770,0,1073543,1403986,462938,520153.09,546347.5,1403986,3931160.7999999993,2224373.940202812,6228247.032567874,11,16,29,21,11,16,13,6,Kwara,3192893,12631.59120039959,29512.641028443653,33076.04720417374,0.0,0.4312244595698542,1.0503590394897009,2.8,2.7999999999999994,2488858,2360448,2650826,808684
23,Lagos,2424442,0,3045945,3493789,1627242,486822.6000000001,1217056.5000000002,3493789,9782609.2,0.0,0.0,6,0,35,8,6,0,15,8,Lagos,12550598,49652.15660423093,116008.05083862906,130015.05903536653,0.0,0.5342322333463014,2.5,0.0,2.8,0,0,0,0
