,state_names,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,state,population,lf_yld,oncho_yld,schisto_yld,WHO_region,Country,ISO2,Country_ID,ADMIN1_NAME,ADMIN1_ID,IU_Name,District_ID,IU_ID,Endemicity,MDA_start_APOC,LF_MDA_duration,start_year,end_year,Period,PopReq,PopTreat,Cov,MDA,EffMDA,MDA_n,EffMDA_n,MDA_left,Mapping_gap,Composite_IU_ID,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio
11,Abia,762282,0,990432,3049131,167548,95517.18000000001,0.0,3049131,8537566.799999999,1145295.945155312,3206828.646434874,Abia,3727347,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Osisioma,1596,36347,Endemic,,,2017,2017,Annual,230541,224154,97.22956003,1,1,1,1,4,0,ANGA0377536347,0.0,0.16916658589383218,0.0,2.8,2.8
12,Abia,762282,0,990432,3049131,167548,95517.18000000001,0.0,3049131,8537566.799999999,1145295.945155312,3206828.646434874,Abia,3727347,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Arochukwu,1588,36339,Endemic,2014.0,3.0,2017,2017,Annual,178660,155443,87.00492556,1,1,1,1,2,0,ANGA0377536339,0.0,0.16916658589383218,0.0,2.8,2.8
13,Abia,762282,0,990432,3049131,167548,95517.18000000001,0.0,3049131,8537566.799999999,1145295.945155312,3206828.646434874,Abia,3727347,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Bende,1589,36340,Endemic,2014.0,3.0,2017,2017,Annual,201652,190480,94.45976236,1,1,1,1,2,0,ANGA0377536340,0.0,0.16916658589383218,0.0,2.8,2.8
14,Abia,762282,0,990432,3049131,167548,95517.18000000001,0.0,3049131,8537566.799999999,1145295.945155312,3206828.646434874,Abia,3727347,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Ohafia,1595,36346,Endemic,2014.0,3.0,2017,2017,Annual,257320,232536,90.36841287,1,1,1,1,2,0,ANGA0377536346,0.0,0.16916658589383218,0.0,2.8,2.8
15,Abia,762282,0,990432,3049131,167548,95517.18000000001,0.0,3049131,8537566.799999999,1145295.945155312,3206828.646434874,Abia,3727347,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Ugwunagbo,1597,36348,Endemic,,,2017,2017,Annual,86722,75223,86.74038883,1,1,1,1,4,0,ANGA0377536348,0.0,0.16916658589383218,0.0,2.8,2.8
16,Abia,762282,0,990432,3049131,167548,95517.18000000001,0.0,3049131,8537566.799999999,1145295.945155312,3206828.646434874,Abia,3727347,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Ukwa East,1598,36349,Endemic,2014.0,3.0,2017,2017,Annual,61789,53489,86.56718833,1,1,1,1,1,0,ANGA0377536349,0.0,0.16916658589383218,0.0,2.8,2.8
17,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Toungo,1621,36372,Endemic,2015.0,1.0,2017,2017,Annual,0,0,0.0,0,0,0,0,4,0,ANGA0377636372,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
18,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Demsa,1603,36354,Endemic,2015.0,1.0,2017,2017,Annual,189204,153824,81.30060675,1,1,1,1,4,0,ANGA0377636354,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
19,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Yola North,1622,36373,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377636373,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
20,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Yola South,1623,36374,Endemic,2015.0,1.0,2017,2017,Annual,0,0,0.0,0,0,0,0,5,0,ANGA0377636374,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
